DISA_DIRESA;Codigo Destino;Punto_Destino;Estrategias;Responsable;Año_CD;N_CD;Referencia_SIGA;Fec_creacion_CD;Referencia_CD;Fec_pedido;AñoPECOSA;MesPECOSA;Fec_emisión_PECOSA;N_PECOSA;N_Cargo_PECOSA;Fecha_Cargo_PECOSA;Fec_salida_de_PECOSA_y_producto_del_almacen;Nombre_del_Recepcionista;Fec_de_Conciliacion;Fec_Anulacion_de_PECOSA;Anulados;CODIGO_SIGA;CODIGO_SISMED;PRODUCTO;LOTES;Fec_Vencimiento;CANTIDADES;PRECIO_UNITARIO;TOTAL;TOTAL_CALCULADO;DIFERENCIA
Dirección Regional de Salud Ucayali;950;REGION UCAYALI-SALUD;NUTRICION;LEONEL FRANCIS SANCHEZ;2024;7381;CD N° 7381 - 2024 - DISTRIBUCION II TRIMESTRE;2024-05-06;DISTRIBUCION II TRIMESTRE;2024-05-07;2024;5;2024-05-07;44173;7664;2024-05-07;2024-05-23;PKS DIGITAL;2024-11-18;;FALSE;585700010030;20575;OTRAS COMBINACIONES DE MULTIVITAMINAS PLV 1 G;UMJ001;2025-12-31;180000;0.068795;12384.87;12383.1;1.77
Instiuciones del Extranjero;50932;MYLAN LABORATORIES LIMITED;NO ESPECIFICADO;NO ESPECIFICADO;0;0;CANJE X DETERIORO, NEA 062-24, INFORME N° 001-APAG-2024-CENARES, CORREO Q. F. AGUSTIN ANDIA (15/04/24);;NO ESPECIFICADO;2024-04-18;2024;4;2024-04-19;39050;0;;;PKS DIGITAL;;;FALSE;582400540001;41842;DOLUTEGRAVIR + LAMIVUDINA + TENOFOVIR   50 MG + 300 MG + 300 MG;3182993;2026-05-31;2700;0.655364;1773.2;1769.48;3.72
Dirección Regional de Salud Cusco;1129;REGION CUSCO - SALUD CANAS - CANCHIS - ESPINAR;SIS;Joel Luis Eca;2024;5533;CD N° 5533 - 2024 - OC 5281-24/MES 5/;2024-04-01;ENTREGA A DESTINO;2024-04-02;2024;4;2024-04-02;30704;5823;2024-04-02;2024-05-17;PKS DIGITAL;2025-04-08;;FALSE;583800810005;03215;ESCOPOLAMINA N-BUTILBROMURO 10 MG TAB;2091123;2026-09-30;5000;0.165643;827.16;828.22;-1.06
Dirección Regional de Salud Huanuco;1696;GOB. REG. DPTO. HUANUCO - RED DE SALUD PACHITEA - PANAO;SIS;LEONEL FRANCIS SANCHEZ;2024;3593;CD N° 3593 - 2024 - OC 5777-24/MES 6/;2024-03-15;ENTREGA A DESTINO;2024-03-21;2024;3;2024-03-21;25587;3910;2024-03-21;;PKS DIGITAL;2025-03-10;;FALSE;495700350044;16656;"JERINGA DESCARTABLE 1 ML CON AGUJA 25 G X 5/8""";20230912;2028-09-12;1000;0.094915;282.85;94.92;187.93
Dirección Regional de Salud Huancavelica;1645;GOB. REG. HUANCAVELICA - RED DE SALUD TAYACAJA;SIS;LEONEL FRANCIS SANCHEZ;2024;3199;CD N° 3199 - 2024 - OC 5382-24/MES 5/;2024-03-12;ENTREGA A DESTINO;2024-03-19;2024;3;2024-03-19;23287;3367;2024-03-19;2024-08-20;PKS DIGITAL;2024-11-18;;FALSE;580500120002;17771;VALPROATO SODICO 250 MG/5 ML JBE 120 ML;2110903;2026-11-30;200;9.731992;2296.75;1946.4;350.35
Dirección Regional de Salud Ucayali;950;REGION UCAYALI-SALUD;SALUD MENTAL;María Bonifacio;2024;2693;"CD N° 2693 - 2024; DISTRIBUCION II TRIMESTRE";2024-03-08;DISTRIBUCION II TRIMESTRE;2024-03-18;2024;3;2024-03-18;22295;3231;2024-03-18;2024-04-12;PKS DIGITAL;;;FALSE;584900330003;05807;SERTRALINA  50 MG TAB;2120113;2027-12-31;39880;0.08387;3342.82;3344.74;-1.92
Dirección de Salud Apurimac II(Chanka);756;REGION APURIMAC-SALUD CHANKA;SALUD MENTAL;María Bonifacio;2024;2693;"CD N° 2693 - 2024; DISTRIBUCION II TRIMESTRE";2024-03-08;DISTRIBUCION II TRIMESTRE;2024-03-18;2024;3;2024-03-18;22271;3231;2024-03-18;2024-04-10;PKS DIGITAL;2024-06-05;;FALSE;584900330003;05807;SERTRALINA  50 MG TAB;2111213;2027-11-30;30000;0.08387;2514.18;2516.1;-1.92
Dirección de Redes Integradas de Salud Lima Sur;141;HOSPITAL DE APOYO DEPARTAMENTAL MARIA AUXILIADORA;SIS;LEONEL FRANCIS SANCHEZ;2024;641;CD N° 641-2024 - OC 725-24/MES 5/;2024-02-07;ENTREGA A DESTINO;2024-02-08;2024;2;2024-02-08;7036;759;2024-02-08;2024-08-20;PKS DIGITAL;2024-09-19;;FALSE;583000450001;00663;AMIODARONA 50 MG/ML INY 3 ML;2101453;2025-10-31;500;4.347458;2565;2173.73;391.27
Dirección Regional de Salud San Martín;1059;REGION SAN MARTIN-SALUD HUALLAGA CENTRAL;NUTRICION;Bettyna Zelaya;2024;171;CD N° 171 - 2024  -  DISTRIBUCION I TRIMESTRE;2024-01-18;DISTRIBUCION I TRIMESTRE;2024-02-07;2024;2;2024-02-07;6575;672;2024-02-07;2024-02-16;PKS DIGITAL;2024-05-21;;FALSE;580600050004;04586;MEBENDAZOL 500 MG TAB;23EQ022;2027-04-30;40800;0.413588;16877.85;16874.39;3.46
Gerencia Regional de Salud Moquegua;1394;GOB. REG. MOQUEGUA - HOSPITAL REGIONAL DE MOQUEGUA;SIS;LEONEL FRANCIS SANCHEZ;2024;563;CD N° 563 - 2024 - OC 0898-24/MES 4/;2024-02-05;ENTREGA A DESTINO;2024-02-06;2024;2;2024-02-06;6110;610;2024-02-06;2024-02-13;PKS DIGITAL;;2024-02-12;TRUE;495700280145;41488;GUANTE PARA EXAMEN DESCARTABLE DE NITRILO SIN POLVO TALLA M;20230619;2028-06-19;20000;0.087712;2070;1754.24;315.76
Gerencia Regional de Salud La Libertad;1282;R.LA LIBERTAD- INST. REG.ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA - INREN-NORTE;SIS;LEONEL FRANCIS SANCHEZ;2024;562;CD N° 562 - 2024 - OC 0897-24/MES 4/;2024-02-05;ENTREGA A DESTINO;2024-02-06;2024;2;2024-02-06;6109;609;2024-02-06;2024-02-13;PKS DIGITAL;;2024-02-12;TRUE;495700280145;41488;GUANTE PARA EXAMEN DESCARTABLE DE NITRILO SIN POLVO TALLA M;20230619;2028-06-19;35000;0.087712;3622.5;3069.92;552.58
Dirección Regional de Salud Apurimac I;1500;GOB. REG. APURIMAC - RED DE SALUD COTABAMBAS;SIS;LEONEL FRANCIS SANCHEZ;2024;553;CD N° 553 - 2024 - OC 0891-24/MES 4/;2024-02-05;ENTREGA A DESTINO;2024-02-06;2024;2;2024-02-06;6106;606;2024-02-06;2024-02-13;PKS DIGITAL;;2024-02-12;TRUE;495700280145;41488;GUANTE PARA EXAMEN DESCARTABLE DE NITRILO SIN POLVO TALLA M;20230619;2028-06-19;10000;0.087712;1113.94;877.12;236.82
